Store Name,Address,Time,Day,Partner,Lat,Lng
Eagle Food Market,2208 N Broad Ave. 19132,10-12,1st?Tuesday,Jefferson,39.986633,-75.156555
Lehigh Avenue Supermarket,2837 Lehigh Ave 19132,1-3,1st?Tuesday,Jefferson,39.997447,-75.178233
Maria¡¯s Grocery,2863 N 5th?St. 19133,10-12,2nd?Tuesday,Jefferson,39.995311,-75.139294
Corner II Food Market,828 W. Huntingdon St. 19133,1-3,2nd?Tuesday,Jefferson,39.991391,-75.14633
3MNS,623 Fairmount Ave. 19123,10-12,3rd?Tuesday,Jefferson,39.964284,-75.148873
Point Breeze Supermarket,1426 Point Breeze Ave 19146,1-3,3rd?Tuesday,Jefferson,39.934285,-75.180413
Lora Mini Market,1920 Susquehanna Ave 19121,1-3,4th?Tuesday,Jefferson,39.987643,-75.165283
Christian Food Market,2242 Christian St 19146,10-12,4th?Thursday,Jefferson,39.941904,-75.180741
Olivares,1718 Wharton St 19146,1-3,4th?Thursday,Jefferson,39.935075,-75.173255
Jennifer Grocery,4823 Chester Ave 19143,10-12,2ndWednesday,USciences,39.944551,-75.216403
Aladdin Food Market,6247 Elmwood Ave 19142,10-12,2nd?Tuesday,USciences,39.924556,-75.227841
Cedar Food Market,600 S. 52nd?19143,12:30-2:30,2ndWednesday,Lankenau,39.950598,-75.227055
**Ray Food Market,5401 Girard Ave 19131,12:30-2:30,"Aug 30, Sept 6, 20, 27",N/A,39.971584,-75.228883
**Angela Mini Market,5700 Chester Ave 19143,10-12,"Aug 30, Sept 6, 20, Oct 4",N/A,39.93669,-75.22702
**La Delicia Grocery,4936 N. 5th?St 19120,1-3,"Aug 2, 9, 16",N/A,40.027188,-75.13293
